SYMBOL,NAME ,PRICE ,CHANGE ,%CHANGE ,LOW ,HIGH ,PREVIOUS CLOSE 
AXP,American Express Co,153.93,-0.65,-0.42,152.88,154.99,154.58
AMGN,Amgen Inc,283.4,-3.65,-1.27,281.6,289.54,287.05
AAPL,Apple Inc,151.07,0.89,0.59,149.34,151.83,150.18
BA,Boeing Co,174.85,2.35,1.36,171.77,175,172.5
CAT,Caterpillar Inc,236.92,-0.34,-0.14,235.61,239.63,237.26
CSCO,Cisco Systems Inc,48.57,0.19,0.39,48.32,48.99,48.38
CVX,Chevron Corp,184.24,-1.65,-0.89,182.58,185.15,185.89
GS,Goldman Sachs Group Inc,386.25,2.38,0.62,383.41,388.2,383.87
HD,Home Depot Inc,321.51,-3.37,-1.04,320.44,327.82,324.88
HON,Honeywell International Inc,218.91,0.15,0.07,218.3,220.68,218.76
IBM,International Business Machines Corp,148.75,-0.35,-0.23,148.3,150.46,149.1
INTC,Intel Corp,29.67,-0.15,-0.5,29.49,30.08,29.82
JNJ,Johnson & Johnson,177.01,0.19,0.11,176.01,177.4,176.82
KO,Coca-Cola Co,62.63,0.28,0.45,62.3,62.79,62.35
JPM,JPMorgan Chase & Co,136.48,1.44,1.07,134.86,136.5,135.04
MCD,McDonald’s Corp,273.27,-1.49,-0.54,272.88,275.65,274.76
MMM,3M Co,128,-0.6,-0.47,127.24,129.12,128.6
MRK,Merck & Co Inc,106.82,-0.08,-0.07,106.3,107.3,106.9
MSFT,Microsoft Corp,247.58,2.55,1.04,244.27,248.28,245.03
NKE,Nike Inc,106.65,0.68,0.64,105.23,106.98,105.97
PG,Procter & Gamble Co,146.45,0.83,0.57,145.57,146.63,145.62
TRV,Travelers Companies Inc,188.01,0.88,0.47,186.58,188.33,187.13
UNH,UnitedHealth Group Inc,529.71,6.62,1.27,523,530.44,523.09
CRM,Salesforce Inc,152.24,2.99,2,147.55,152.91,149.25
VZ,Verizon Communications Inc,38.92,-0.28,-0.71,38.61,39.2,39.2
V,Visa Inc,211.73,1.4,0.67,209.91,212.83,210.33
WBA,Walgreens Boots Alliance Inc,41.76,-0.03,-0.07,41.5,41.94,41.79
WMT,Walmart Inc,152.42,0.73,0.48,151.88,153.37,151.69
DIS,Walt Disney Co,98.88,2.67,2.78,95.78,99.34,96.21
DOW,Dow Inc,51.55,-0.02,-0.04,51.14,51.74,51.57
